SL No,DISTRICT_NAME,Hospital,TYPE_OF_FACILITY
1,BAGALKOTE,CHC Rabakavi- Banahatti,CHC
2,BALLARI,Community Health Center Moka,CHC
3,BALLARI,Community Health Centre Kampli,CHC
4,BALLARI,"Community Health Centre Roopanagudi, Ballari",CHC
5,BALLARI,"Community Health Centre Thoranagallu,Sandur Tq, Ballary",CHC
6,BALLARI,CHC Ujjaini,CHC
7,BALLARI,CHC Hampasagara,CHC
8,BALLARI,"CHC Ittagi, Huvinahadagali",CHC
9,BALLARI,"CHC Thekkal kote, Shiraguppa",CHC
10,BALLARI,CHC Korugodu,CHC
11,BALLARI,CHC Tekkalakote ,CHC
12,BALLARI,CHC Tekkalakote,CHC
13,BENGALURU URBAN,Ulsoor Referral Hospital,CHC
14,BENGALURU URBAN,Hosahalli Referral Hospital,CHC
15,BENGALURU URBAN,JJR Nagar Referral Hospital,CHC
16,BENGALURU RURAL,"Community Health Centre Vijayapura, Bangalore Rural",CHC
17,BENGALURU RURAL,"Community Health Center,Thyamagodlu,Nelamagala",CHC
18,BENGALURU RURAL,CHC Vijayapura,CHC
19,BENGALURU RURAL,CHC Thyamagondlu,CHC
20,BENGALURU URBAN,"Community Health Centre Avalahalli, KR Puram, Bangalore",CHC
21,BENGALURU URBAN,"Community Health Centre Kaggalipura, Bangalore south ",CHC
22,BENGALURU URBAN,"Community Health Centre Kengeri, Bangalore South.",CHC
23,BENGALURU URBAN,"Community Health Centre Chandappa Circle, ",CHC
24,BENGALURU URBAN,"Community Health Centre K G Halli, Bangalore",CHC
25,BENGALURU URBAN,ESI Peenya,CHC
26,BBMP,Refereal Hospital Banashankari,CHC
27,BBMP,Refereal Hospital Srirampura,CHC
28,BBMP,Refereal Hospital Hosahalli,CHC
29,BBMP,Refereal Hospital Halasuru,CHC
30,BBMP,Referal Hospitol Siddaiah Road,CHC
31,BBMP,Referrall Hospitol H Siddiah Road,CHC
32,BBMP,Referral HospitalHalsuru ,CHC
33,BBMP,A Dasarahalli Referral Hospital,CHC
34,BELAGAVI,CHC Kagawad,CHC
35,BELAGAVI,CHC Nippani,CHC
