SL no,DISTRICT_NAME,Hospital,TYPE_OF_FACILITY
1,BAGALKOTE,District Hospital Bagalkot,District Hospital
2,BALLARI,"District Hospital, Ballari",District Hospital
3,BENGALURU URBAN,Sir C V Raman General Hospital Bangalore,District Hospital
4,BENGALURU URBAN,K C General Hospital,District Hospital
5,BENGALURU URBAN,"Jayanagar General Hospital, Bangalore",District Hospital
6,BENGALURU URBAN,"GHSIS Gosha Hospital, Bangalore",District Hospital
7,BELAGAVI,DH (BIMS Belagavi),District Hospital
8,CHAMARAJANAGARA,District Hospital Chamarajnagar,District Hospital
9,CHIKKABALLAPURA,"District Hospital Chikkaballapura, Chikkaballapura",District Hospital
10,CHIKKAMAGALURU,District Hospital Chikkamagaluru,District Hospital
11,CHITRADURGA,"Dristrict Hospital, Chitradurga",District Hospital
12,DAVANGERE,"Chigateri District Hospital, Davanagere",District Hospital
13,DAVANGERE,Women and Child HospitalDavanagre,District Hospital
14,DHARWAD,District Hospital Dharwad,District Hospital
15,GADAG,GIMS Gadag,District Hospital
16,GADAG,MCH Gadag,District Hospital
17,HAVERI,"District Hospital, Haveri",District Hospital
18,KALABURAGI,"District Hospital,Kalaburagi",District Hospital
19,KALABURAGI,"District Hospital,Kalaburagi / ESIC",District Hospital
20,KODAGU,D HMadakeri,District Hospital
21,KOLAR,SNR District Hospital Kolar,District Hospital
22,KOPPAL,DH Koppal,District Hospital
23,MANDYA,D H Mandya,District Hospital
24,DAKSHINA KANNADA,Lady Goshan Hospital Mangalore,District Hospital
25,MYSURU,D H Mysore,District Hospital
26,RAMANAGARA,General Hospital Kanakapura,District Hospital
27,RAMANAGARA,District Hospital Ramanagar,District Hospital
28,SHIVAMOGGA,Mc Gann District Hospital Shimogha,District Hospital
29,TUMAKURU,District Hospital Tumkur,District Hospital
30,UDUPI,Govt Maternity Hospital Udupi,District Hospital
31,UTTARA KANNADA,KAIMS Karwar,District Hospital
32,VIJAYAPURA,District Hospital Vijayapura,District Hospital
33,YADGIR,DH Yadgir,District Hospital
